full_name,age,join_date,salary$,department,score,bonus,active,comments,weird_column___name
Carol,36,2020-04-20 20:28:48,5935,Operations,A,1500.0,0.0,,-0.7056188537203797
Alice,57,2019-10-09 21:54:57,3240,Operations,,1000.0,1.0,excellent,0.0945419965810872
Frank,56,2023-06-14 16:27:08,15744,Sales,D,1000.0,0.0,needs review,1.2941900431622948
Bob,63,2017-11-24 11:12:36,15468,Finance,C,1500.0,1.0,excellent,0.2844227110561519
Alice,37,2021-11-18 18:16:37,17287,Finance,D,1000.0,1.0,excellent,-0.013947988388113
Frank,43,2018-12-11 09:50:00,5789,,C,1000.0,1.0,ok,-0.8436863250502603
Carol,29,2023-08-06 23:23:29,5430,,D,1000.0,0.0,pending,-1.4068046996248604
Eve,53,2018-03-06 16:36:43,4915,Sales,D,500.0,1.0,,-0.7859999829946728
Bob,35,2022-05-08 23:03:46,3372,Operations,,1500.0,1.0,pending,0.2841823740077364
Alice,33,2022-11-26 11:50:00,17805,,C,1500.0,1.0,ok,1.0524725645458934
Carol,66,2019-01-11 09:19:37,13866,,,1000.0,0.0,needs review,1.265561699769996
Dave,45,2023-04-03 19:14:02,11074,IT,C,1000.0,0.0,ok,1.1723286780620412
Frank,53,2017-08-31 17:55:14,6558,Operations,C,1000.0,0.0,pending,-0.1523732838483578
Eve,24,2018-01-17 02:25:17,4168,HR,C,1000.0,0.0,ok,-0.6361055005541693
Carol,65,2021-04-04 00:51:32,7380,IT,C,1000.0,1.0,,-0.9804137566637195
Eve,34,2020-07-03 19:00:43,17694,Operations,B,500.0,1.0,ok,-0.3306730633426866
Bob,39,2021-05-14 05:44:16,4680,IT,D,1000.0,0.0,ok,-0.2088489824151068
Frank,61,2019-06-30 23:34:10,12973,Finance,A,1500.0,1.0,excellent,-0.8960230400209859
Frank,18,2023-10-20 00:38:52,11918,,D,1000.0,1.0,ok,0.688921693951816
Dave,26,2021-05-24 05:58:21,16327,Finance,A,1500.0,1.0,excellent,-0.3697522058291579
Dave,35,2023-06-22 09:32:54,11975,IT,B,1000.0,0.0,,-1.7456239291253328
Eve,32,2022-07-16 11:33:27,12936,Finance,B,1000.0,0.0,excellent,-3.3814787628990404
Carol,54,2021-02-17 06:51:22,14269,IT,D,1000.0,1.0,,0.1550676508673008
Frank,68,2023-09-15 13:27:05,17138,Finance,D,1500.0,0.0,excellent,-0.2806897587542559
Bob,30,2018-01-29 19:41:14,5731,HR,,1000.0,1.0,,-0.2396575543601719
Carol,61,2018-12-18 18:29:30,5403,Operations,D,1000.0,1.0,ok,-1.6138167308094111
Carol,44,2021-08-17 01:07:26,18245,IT,C,1500.0,0.0,pending,-1.969105327463496
Frank,43,2020-12-30 00:35:12,19916,IT,B,1500.0,0.0,pending,-0.5814752690959147
Bob,63,2021-07-21 05:34:29,11323,IT,A,0.0,0.0,excellent,-0.074673939754562
Alice,18,2020-03-22 08:49:33,15000,Operations,B,1000.0,1.0,,-0.1198980499854627
Frank,30,2020-07-18 21:19:31,18486,,B,1000.0,0.0,needs review,1.457707601173038
Bob,51,2017-11-25 15:35:04,15614,IT,,1000.0,1.0,ok,-1.5819423928829195
Eve,56,2021-05-25 12:54:31,6715,HR,B,500.0,0.0,,-0.7435895220638672
Dave,51,2021-03-18 02:32:11,6753,IT,A,500.0,1.0,,-1.120694455236125
Eve,30,2021-03-19 07:31:05,18130,IT,C,500.0,1.0,needs review,1.515400418641575
Eve,55,2018-02-12 06:21:31,10031,IT,D,0.0,1.0,,1.4813902228204554
Frank,32,2022-05-01 22:46:39,3151,Sales,A,1000.0,0.0,ok,-0.0294702380948611
Bob,69,2021-03-05 02:42:57,16639,IT,A,1000.0,1.0,pending,0.8716938183249696
Dave,36,2022-06-06 03:38:16,5627,Operations,D,1500.0,0.0,needs review,-0.5054412352025269
Frank,63,2020-06-19 21:53:03,3243,HR,B,1500.0,1.0,ok,0.5318149235662842
Frank,36,2017-08-30 02:48:22,12710,,B,1000.0,1.0,excellent,0.2974579341128013
Frank,42,2021-03-20 05:25:28,3499,Sales,D,500.0,1.0,pending,1.6825160306998936
Eve,46,2021-11-10 22:16:35,14840,Sales,B,1500.0,1.0,ok,1.4469256388657683
Eve,63,2021-03-26 01:55:07,19758,IT,D,1000.0,1.0,,-0.0481297508145693
Eve,41,2020-05-09 15:04:26,16559,,C,500.0,1.0,,0.9108199486099124
Frank,28,2020-11-16 21:54:29,4341,,A,500.0,1.0,needs review,0.2491445769388297
Alice,38,2018-01-03 15:09:55,16359,Finance,D,1500.0,1.0,,0.5346883231947912
Eve,60,2021-12-25 15:27:46,3587,HR,,500.0,0.0,excellent,0.0618162293959586
Eve,52,2021-07-09 01:49:18,5439,,D,500.0,0.0,excellent,-0.0600631051246692
Alice,42,2019-07-18 06:52:03,15335,IT,A,1000.0,1.0,pending,0.3822595670905272
Frank,53,2020-06-07 21:33:23,4301,Finance,A,0.0,1.0,ok,-0.7074782888719968
Bob,32,2017-11-19 13:52:06,19277,Finance,D,500.0,0.0,ok,0.5814194920254372
Carol,34,2020-11-02 04:34:07,6875,Operations,D,500.0,0.0,needs review,-0.1829362914358527
Dave,49,2018-12-02 03:26:10,5059,,,1000.0,0.0,needs review,-1.790826454565699
Bob,38,2021-08-14 23:02:39,14539,,,1500.0,0.0,needs review,0.3395844376633165
Bob,54,2018-07-21 14:54:03,12607,HR,A,1000.0,1.0,ok,1.6491896898155642
Carol,21,2022-10-29 04:59:29,16670,HR,,0.0,0.0,,0.9228009798193912
Bob,54,2018-09-28 16:13:43,13866,IT,B,1000.0,1.0,pending,-0.498598059206313
Frank,19,2023-08-29 09:40:05,16600,Sales,C,500.0,0.0,ok,-0.2877177205588128
Dave,62,2021-03-30 21:19:10,15462,Finance,B,500.0,0.0,excellent,-0.943836702937083
Frank,18,2018-05-12 06:51:30,9380,,A,1500.0,1.0,needs review,0.252932084340778
Bob,66,2018-04-23 16:53:38,7933,Finance,D,1500.0,1.0,ok,1.952059365880081
Bob,24,2022-06-05 19:05:53,10779,,A,1000.0,1.0,ok,0.5298992374361685
Alice,35,2021-09-09 13:38:54,18425,Sales,B,500.0,1.0,needs review,1.0540950948952637
Eve,22,2021-03-28 12:35:36,7376,Sales,,1000.0,1.0,,0.211935065719239
Alice,58,2020-12-24 16:47:55,6145,Operations,C,1000.0,0.0,ok,-0.4941788991322325
Alice,56,2020-04-18 20:40:49,9582,,D,500.0,1.0,,1.0560032254800389
Frank,35,2023-07-28 16:29:40,4331,Finance,C,1000.0,1.0,pending,0.978194481523224
Frank,63,2017-12-28 20:37:10,16341,,B,500.0,1.0,excellent,-0.0142692691580941
Dave,40,2021-04-06 10:33:15,8873,HR,,1000.0,1.0,needs review,1.1435983902337703
Bob,19,2021-12-19 08:37:39,16210,Finance,A,0.0,0.0,,0.1829574270215959
Frank,58,2021-11-24 23:07:24,10433,IT,,0.0,1.0,needs review,-0.8033976025745556
Alice,61,2020-11-25 02:14:37,5877,Finance,D,500.0,0.0,excellent,-0.1041095291476369
Alice,42,2019-02-15 23:48:17,5376,Sales,,500.0,1.0,excellent,0.4628897530031599
Alice,59,2018-06-07 02:33:41,10957,Finance,B,1000.0,1.0,needs review,1.8949825235463496
Eve,65,2023-04-14 02:10:10,12157,Finance,B,0.0,1.0,needs review,0.8317955809012316
Alice,29,2022-10-23 02:27:15,15114,,D,1500.0,0.0,pending,0.3313356374287485
Bob,28,2019-09-02 06:57:41,19176,Operations,C,500.0,1.0,,-0.6646518556239921
Carol,34,2019-07-30 04:33:45,9828,Sales,C,1000.0,0.0,ok,0.7070675184500319
Carol,27,2023-10-07 21:23:14,8099,,B,0.0,1.0,pending,-0.9554654936709291
Carol,51,2018-03-03 22:23:56,16973,,B,1500.0,1.0,excellent,1.638550882779927
Dave,61,2023-06-28 17:36:16,8731,IT,A,1500.0,1.0,ok,0.171619323510601
Dave,25,2022-02-18 17:01:47,11746,,C,0.0,0.0,ok,-1.413200973334634
Dave,62,2018-04-01 22:44:52,11990,Finance,A,1000.0,1.0,pending,1.2899080426433684
Carol,47,2017-10-15 03:24:10,8675,Finance,D,0.0,1.0,excellent,0.7627655934355979
Frank,38,2023-06-22 15:19:44,8148,Finance,B,1000.0,1.0,needs review,1.661381420150437
Carol,47,2018-07-30 00:02:42,16062,IT,,1500.0,1.0,,0.6052801210716359
Bob,38,2022-06-03 08:32:29,4186,HR,,0.0,1.0,needs review,-0.5188841450983942
Carol,61,2019-09-22 03:37:41,17950,Operations,C,1000.0,1.0,,-0.3382482382549648
Eve,53,2022-03-12 04:15:46,18029,HR,D,1500.0,1.0,pending,-0.101912131980105
Eve,19,2019-09-21 15:52:47,16820,HR,D,1000.0,1.0,excellent,1.6799426242590825
Alice,33,2020-08-18 16:20:19,17846,IT,,500.0,0.0,pending,-1.20588592740497
Eve,57,2023-07-26 14:48:17,17776,IT,A,500.0,1.0,,3.0869087291761863
Carol,42,2019-12-11 22:37:24,9152,HR,C,1000.0,1.0,pending,-0.346000861022701
Alice,59,2017-10-02 16:42:27,6596,IT,A,1500.0,1.0,excellent,0.5225670633428895
Bob,47,2020-08-07 04:19:48,3998,Sales,B,1000.0,1.0,,-2.2415031371724363
Dave,52,2020-08-07 16:58:16,9473,Finance,A,1000.0,1.0,,-1.423208413271523
Frank,37,2020-12-18 23:23:28,18013,Sales,C,500.0,0.0,ok,0.6145516032503732
Dave,44,2018-07-10 17:56:32,9055,HR,A,500.0,1.0,excellent,1.570191623953179
Alice,37,2017-10-27 03:41:25,16559,IT,,1500.0,0.0,pending,0.7054512553300128
Carol,61,2021-12-13 23:29:03,3057,HR,,500.0,1.0,,-0.6336926034867735
Carol,47,2022-08-14 04:43:51,19587,HR,A,1500.0,1.0,needs review,0.5725818022855638
Dave,33,2019-12-17 21:10:02,19259,HR,B,1500.0,1.0,needs review,2.2678405558770143
Eve,34,2022-08-07 03:28:51,6486,Finance,D,500.0,1.0,,-0.8043516197901729
Eve,66,2023-03-26 11:48:27,5534,Finance,B,1500.0,0.0,excellent,0.3933228981077618
Eve,30,2021-03-27 12:31:21,4879,Sales,B,500.0,1.0,needs review,1.5884448617952895
